,1_MAKE,1_MISS,2_MAKE,2_MISS,3_MAKE,3_MISS,4_MAKE,4_MISS,5_MAKE,5_MISS,NONE
1_MAKE,0.19939975502996074,0.11988429596435556,0.033036111508064826,0.029904146562873324,0.04020019456887209,0.026792673004161344,0.033227399176171755,0.09978352061915755,0.04337954669620632,0.0761686627797944,0.29822369409036426
1_MISS,0.19939975502996077,0.11988429596435557,0.033036111508064826,0.029904146562873324,0.0402001945688721,0.02679267300416135,0.03322739917617176,0.09978352061915756,0.04337954669620633,0.07616866277979441,0.29822369409036437
2_MAKE,0.19939975502996082,0.11988429596435561,0.03303611150806484,0.029904146562873334,0.040200194568872104,0.026792673004161358,0.03322739917617177,0.09978352061915759,0.043379546696206334,0.07616866277979442,0.2982236940903644
2_MISS,0.19939975502996085,0.11988429596435564,0.03303611150806484,0.02990414656287334,0.04020019456887211,0.026792673004161358,0.033227399176171776,0.0997835206191576,0.04337954669620635,0.07616866277979445,0.2982236940903645
3_MAKE,0.1993997550299608,0.1198842959643556,0.03303611150806483,0.029904146562873334,0.040200194568872104,0.026792673004161348,0.03322739917617176,0.09978352061915756,0.043379546696206334,0.07616866277979442,0.2982236940903644
3_MISS,0.19939975502996085,0.11988429596435561,0.03303611150806484,0.029904146562873338,0.040200194568872104,0.026792673004161358,0.03322739917617177,0.09978352061915757,0.04337954669620635,0.07616866277979444,0.2982236940903644
4_MAKE,0.1993997550299609,0.11988429596435562,0.03303611150806485,0.02990414656287334,0.04020019456887212,0.02679267300416136,0.033227399176171776,0.0997835206191576,0.043379546696206354,0.07616866277979444,0.29822369409036453
4_MISS,0.19939975502996074,0.11988429596435558,0.033036111508064826,0.02990414656287333,0.0402001945688721,0.02679267300416135,0.03322739917617176,0.09978352061915755,0.04337954669620632,0.07616866277979441,0.2982236940903643
5_MAKE,0.19939975502996082,0.11988429596435561,0.03303611150806483,0.029904146562873334,0.040200194568872104,0.026792673004161358,0.03322739917617177,0.09978352061915756,0.043379546696206334,0.07616866277979442,0.2982236940903644
5_MISS,0.19939975502996077,0.11988429596435558,0.03303611150806483,0.029904146562873327,0.04020019456887209,0.026792673004161348,0.03322739917617177,0.09978352061915756,0.04337954669620633,0.07616866277979441,0.29822369409036437
NONE,0.19939975502996077,0.11988429596435557,0.03303611150806483,0.029904146562873324,0.04020019456887209,0.026792673004161348,0.03322739917617176,0.09978352061915756,0.04337954669620632,0.07616866277979441,0.2982236940903643
